User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Saucy,5061,Iron 2,Duelist,0.7749,4.8,11.754,11.6
我黑色,8641,Silver 1,Flex,0.2,1.0,0.0,21.0
Ekul tr,NA1,Silver 2,Flex,1.0,3.0,18.1818,9.0
ostt3,NA1,Silver 1,Flex,1.3095,5.2,17.3971,29.4
ItMeSuper,2507,,Flex,1.1947,3.8,14.6437,14.4
BiscuitSticks,666,Bronze 2,Flex,,,,
annieboot,NA1,,Initiator,2.0762,3.8,7.2286,14.0
Ttvmasteryodd,5530,Iron 3,Sentinel,0.8081,4.4,9.4547,42.6
valorant sucks,7777,Silver 1,Flex,1.0556,6.0,20.7317,42.0
Dekz,7974,Iron 3,Flex,0.7842,3.6,5.4902,19.2
EndIt,0000,,Duelist,1.9983,2.0,12.7846,9.2
zuls,9805,Silver 1,Flex,0.9366,4.8,1.4286,0.4
ImFate,9495,Iron 3,Duelist,0.9979,3.4,11.2121,20.8
jHustin,7134,Bronze 2,Controller,1.1452,3.6,10.8036,19.6
Aru108,NA1,Bronze 2,Flex,1.7,4.0,7.4074,32.0
Shrooms,4909,Bronze 3,Flex,1.1111,5.0,4.878,44.0
NoahsMadre,8865,,Duelist,1.1791,4.75,9.3728,16.0
daucy,9635,,Flex,0.6125,5.0,11.3982,10.0
FoxieBoba,LUNA,Iron 3,Duelist,0.8111,6.2,10.085,35.6
fumatt,61013,Bronze 1,Controller,0.9063,3.0,11.1976,21.4
Glacier,1684,Bronze 2,Duelist,1.429,6.2,12.0382,47.8
arnold,roph,Platinum 2,Duelist,2.0619,2.6,30.3154,46.6
Ynnod,Nomed,Silver 1,Initiator,1.4252,4.0,8.7017,27.0
simpformommy,mom,Iron 2,Flex,1.359,4.6,7.6701,39.0
Atlas,3182,Bronze 2,Initiator,0.7639,6.8,8.594,42.8
MagicMetron,na1,Platinum 2,Flex,0.8333,4.0,9.7921,44.0
TheMightySIGH,0107,,Sentinel,0.5105,0.2,17.0466,7.8
6969,6632,Bronze 2,Flex,1.1667,0.0,4.0,11.0
Elmo,2200,Bronze 2,Duelist,1.1184,6.6,6.5476,15.8
Green Buff OP,420,Gold 2,Flex,0.8479,5.6,10.4984,45.2
CBT lostsocckk,kizz,Silver 3,Duelist,1.1023,3.0,5.4137,29.75
Reubone,7642,Bronze 1,Sentinel,0.9894,5.4,15.8464,31.0
lilwaltbaby,9257,Bronze 2,Duelist,1.0207,3.2,9.6129,48.0
sexyfortniteskin,6355,Iron 3,Flex,1.4667,2.0,17.284,31.0
Rule 34,Furry,Iron 2,Duelist,2.1889,2.6,20.5347,18.2
Rain,5319,Bronze 1,Duelist,0.5107,4.6,5.6149,13.0
bxzrp,2666,Bronze 1,Duelist,1.9716,2.6,20.5431,27.8
TvMods,mom,Iron 2,Flex,1.1332,3.8,6.935,50.4
lolivazk,NA1,Bronze 2,Flex,0.6388,4.4,0.0,0.0
Atlas01,1438,,Flex,0.625,5.0,11.9048,28.0
T3mPest,3321,Bronze 3,Flex,1.8,1.0,18.1818,24.0
riles,3825,Bronze 1,Duelist,0.4729,2.8,11.5495,23.8
that1S1mp,7800,Iron 1,Duelist,0.6853,2.6,7.2727,14.2
ruinns,7692,Bronze 1,Flex,0.48,4.0,28.5714,57.0
kuroo,heart,Bronze 3,Flex,0.8057,2.4,13.7406,27.6
2332,7114,Iron 1,Controller,1.0667,3.8,11.8242,20.8
Fate,20421,,Initiator,0.5322,5.8,9.7042,32.0
aaa,1439,,Duelist,1.0119,4.8,3.8835,6.4
TheoryofEvil,NA1,,Flex,0.5625,2.0,12.766,13.0
GreenGalGG,5065,Iron 2,Duelist,3.0937,5.6,3.8699,22.2
exp,12345,,Controller,0.7833,3.8,2.7682,4.4
Ghostsphinx429,4217,Bronze 3,Controller,0.7852,4.6,11.7101,20.4
snortthesnow,NA1,Bronze 1,Flex,1.3077,7.0,17.6471,49.0
frenchtoast,3595,Bronze 2,Initiator,0.5646,5.2,0.0,0.0
ooglysloath,6959,,Flex,1.0,1.0,14.2857,3.0
Sawyer,2693,Bronze 2,Flex,0.5714,5.0,11.1111,19.0
Aquatyc,slimy,Bronze 1,Flex,0.75,6.0,7.5,25.0
Bookreader34,na34,Silver 3,Duelist,0.6971,2.2,14.6667,23.2
Washed Nectar,6737,,Controller,0.8709,7.2,0.0,0.0
私は男が好き,69420,Bronze 2,Initiator,0.7033,5.2,20.5823,32.8
sparky ヅ,420,,Flex,0.5229,6.0,0.0,0.0
BigBoyTyler,2043,Bronze 2,Flex,1.0,5.0,10.5069,29.8
Misha Mikado,NA1,Iron 2,Flex,0.8196,4.4,15.5042,23.8
Im Kid,6253,Silver 3,Initiator,1.1086,7.0,18.4044,37.75
NalyDあなたを殺しました,WRLD,Bronze 3,Flex,1.1667,2.0,10.7143,9.0
XclusiveGhost,7824,Iron 3,Flex,,,,
CuteOtaku,9111,Bronze 1,Flex,0.3333,3.0,9.375,23.0
vampirevel,8388,,Flex,,,,
BananaManLF,9262,Iron 3,Sentinel,0.8714,3.2,8.0474,22.4
OllieTheMoth,Mothy,Iron 3,Flex,,,,
Street2x Twitch,3733,,Duelist,0.7774,3.8,16.9419,20.2
MinYugBam,NA1,Iron 3,Flex,1.0,2.0,3.125,15.0
drwhiteboy,NA1,Bronze 3,Duelist,1.213,5.8,9.8203,30.6
FLYINGFROG12748,6969,Bronze 3,Flex,0.9444,5.0,19.3548,34.0
gucciflipflops69,NA1,Bronze 2,Flex,1.1667,6.0,0.0,0.0
Alt account,1992,Bronze 2,Duelist,0.9413,3.2,12.8926,35.6
Hay,9760,Bronze 3,Duelist,0.9696,6.6,17.793,47.2
MFarhat2005,4316,Iron 2,Sentinel,0.9284,4.4,14.6542,27.0
PACMANPANDAAA09,3198,Silver 2,Sentinel,0.9014,7.0,8.0765,44.0
Kakarot,1419,Silver 2,Duelist,1.1198,2.6,24.028,22.4
SolarSystem,3217,Bronze 3,Sentinel,0.8394,5.0,9.371,21.0
Rxxn,6765,Platinum 2,Flex,0.8289,5.6,14.2559,28.4
voracious,2631,Bronze 1,Flex,1.3684,5.0,17.0732,33.0
Luthira,NF3,Bronze 2,Flex,1.4659,6.5,23.7969,33.0
bearvuu,bear,Bronze 1,Flex,0.5694,3.6,4.8571,4.0
eatmybrainsout,PWQ0,,Initiator,0.7639,4.6,7.6234,21.0
TheBaconSmuggler,NA1,Bronze 1,Flex,,,,
bad,5369,,Initiator,0.5242,3.0,4.807,7.8
XenoNinja65,NA1,Bronze 1,Duelist,1.1747,3.0,10.5015,26.4
QualityMid00,4466,,Flex,1.0,8.0,16.2162,53.0
Based 0n What,NA1,,Flex,1.75,2.0,8.1633,17.0
LamentsRefrain81,9197,Iron 2,Flex,1.3846,0.0,9.8592,8.0
RogueBakemono,7766,Bronze 2,Duelist,1.0782,3.2,6.0594,56.2
notokashleyy,cutie,Gold 2,Duelist,0.6071,2.6,11.9752,30.2
Galactic,6245,Bronze 3,Flex,0.9594,6.4,10.6131,29.0
DubsStep,JP044,Bronze 3,Flex,,,,
lesler enjoyer,heize,,Flex,0.7857,9.0,0.0,0.0
savana,9999,Silver 2,Duelist,0.7432,5.8,10.1531,41.6
Pacha01,pacha,Bronze 2,Flex,0.8824,1.0,18.3673,38.0
ImJustVeryGood,4405,,Flex,0.5556,2.0,27.2727,15.0
lobe,X810,Silver 1,Duelist,1.4235,4.8,14.7867,35.6
Savory,007,Bronze 3,Flex,1.2664,8.2,6.5953,36.6
Ganz,8758,Iron 2,Controller,0.4706,5.6,12.7545,35.2
Power,2809,Bronze 2,Flex,,,,
CWForFun,1748,Silver 1,Sentinel,1.0238,5.2,14.0365,47.2
JayBirde,NA1,,Initiator,0.45,1.6,1.3333,6.0
Alchemist6464,106,Bronze 1,Flex,2.5,1.0,23.0769,9.0
mizennie,9688,Silver 2,Flex,1.2949,4.2,16.8244,30.0
LilPickle,Sad,Iron 2,Flex,1.0,6.8,10.1785,36.4
boink,0007,Silver 2,Flex,1.5742,5.6,9.7805,24.8
notRacatorPlays,9604,Bronze 3,Flex,0.5455,0.0,10.0,251.0
real,2295,,Flex,,,,
kui8,1002,Bronze 2,Duelist,1.2932,4.2,9.0926,34.0
ColeDaMole22,8315,Iron 1,Controller,0.5037,4.6,7.8112,33.6
Scarlett,68969,Iron 2,Sentinel,0.8545,7.0,14.1936,20.4
SxdBoyJr,1037,Iron 3,Flex,0.9635,5.8,11.8295,64.8
Eźyz,NA1,Iron 3,Flex,2.1825,4.0,17.1875,10.0
zowee,fruit,Bronze 3,Duelist,1.1916,9.4,0.0,0.0
Skyu,duck,Bronze 1,Duelist,0.8997,4.6,9.7574,38.2
SirsQuacks,3139,Bronze 3,Flex,,,,
SplitHive,2809,Gold 1,Flex,2.0,3.0,0.0,0.0
katsalvatore,6677,Bronze 2,Flex,0.7183,1.6,4.968,13.6
HeLp,1765,Bronze 3,Sentinel,1.1703,4.6,18.7424,49.2
celia,simp,Bronze 2,Flex,,,,
Racecar3624,7006,Silver 3,Flex,1.3857,3.0,29.8936,24.5
Ryn,1095,Iron 1,Duelist,0.6095,3.2,7.9956,28.4
brano,bran,Silver 1,Flex,1.198,6.0,26.1312,59.0
Kurama,7371,Silver 2,Sentinel,1.6734,4.2,17.2635,37.2
capng225,2098,Silver 1,Flex,,,,
iChart4Fun,8353,Silver 1,Flex,1.8571,1.0,17.5439,41.0
javusvge1225,2044,Bronze 2,Flex,1.5263,8.0,10.8333,38.0
IID3ADII,1632,,Duelist,1.6321,2.6,12.4242,14.6
Miles is short,1051,Iron 1,Flex,0.5556,7.0,0.0,0.0
callmemilk,8339,Iron 1,Flex,0.7262,5.0,12.769,33.4
Road To Iron,POKI,Silver 2,Flex,,,,
train,bby,Bronze 3,Sentinel,0.5755,6.8,12.2626,10.8
KAYSONE,0824,Silver 2,Flex,,,,
ItxRamenDragon,NA1,Bronze 2,Flex,1.3704,4.0,0.0,0.0
daedizzle11,3312,Bronze 2,Controller,1.0117,7.4,11.4488,25.0
DankDabsDaily,NA1,Gold 3,Duelist,1.0,3.2,16.9048,12.8
mikeydaninja,6217,Silver 1,Flex,1.3333,15.0,11.4583,38.0
BlueBryPopTart,2265,Bronze 3,Flex,0.6004,4.6,18.2209,54.8
iiManos1999,8055,,Flex,1.1875,6.0,18.2927,11.0
GrosseGougoune,7603,Iron 1,Duelist,0.8497,3.2,7.2141,8.4
flyingchicken12,1351,Bronze 1,Sentinel,1.6321,2.4,30.5832,26.8
Triple,cute,Platinum 3,Flex,1.0978,6.4,18.007,57.2
LukeSisgoods,2609,Silver 1,Duelist,0.8858,4.6,4.5216,12.4
LiIZambo,8204,,Controller,0.8457,2.0,15.378,15.8
Zoro,blah,Silver 3,Duelist,1.6011,6.2,17.6146,39.6
Bongo0105,6803,Silver 1,Controller,1.7101,5.0,29.5383,41.4
Locked,1067,Silver 1,Initiator,1.6055,6.4,20.391,46.8
GregsMomKaren,9652,Iron 2,Controller,0.5721,4.0,11.9202,29.4
xIgneous,5153,Gold 1,Flex,1.4519,2.4,16.9868,20.4
Micky Mouse,8310,,Flex,,,,
andruzii,3662,Platinum 3,Duelist,0.98,5.4,13.3364,47.0
Rejectツ,0999,Bronze 3,Duelist,1.4052,2.4,11.7075,45.6
Radius1080,NA1,Silver 1,Duelist,0.9849,6.2,9.623,57.2
alvikes77,7069,,Sentinel,0.891,1.6,14.6308,8.2
LolGamer39,5637,Bronze 2,Flex,1.7333,4.0,11.9048,45.0
TheNootSamurai,NA1,Bronze 2,Flex,,,,
Sheetlobster,6958,Bronze 3,Duelist,1.5662,2.2,14.1997,16.0
Rybread,2115,Bronze 3,Sentinel,0.8644,4.6,10.2991,58.2
Gator,GATR,Bronze 3,Flex,1.2542,4.75,13.723,20.75
mary,ghibl,Bronze 2,Duelist,0.695,1.8,18.4401,28.6
JCisReal,NA1,Bronze 2,Duelist,0.8179,2.4,13.3443,20.2
Nasty a 222,7228,,Flex,,,,
スマーフではありません,OwO,Bronze 3,Flex,1.3684,7.0,5.8394,49.0
Ojman1290,6075,Iron 1,Flex,0.4289,5.0,0.0,8.8
MvParra,000,Diamond 3,Initiator,1.2795,6.6,6.7027,29.0
VileKojix,1569,,Initiator,0.9025,5.8,14.0767,20.2
Mike,3606,,Flex,0.34,2.0,2.6667,4.2
Dekk0da,6709,Iron 3,Initiator,0.4842,3.8,15.0112,30.0
osh1s,yeah,Silver 1,Duelist,2.4986,2.4,19.3708,27.4
Tragg,5627,Silver 2,Duelist,0.9937,4.6,16.9837,39.0
OFFSETT,7327,Iron 3,Sentinel,0.6237,3.2,8.5636,13.2
i can fix her,mesne,Bronze 2,Sentinel,0.8267,2.0,18.0087,6.6
uunderrated1ty,9759,Iron 2,Sentinel,1.1953,3.8,12.5611,24.4
wendysushi,7659,Iron 3,Flex,,,,
alam2881,NA111,Bronze 1,Sentinel,1.3605,6.2,6.8035,22.4
jam,GLIZY,Gold 2,Flex,1.7059,4.0,18.0723,51.0
larrythemobsta,1261,,Initiator,0.8758,4.0,17.5706,18.4
big idot,2222,Silver 3,Duelist,0.6932,3.0,15.0,21.6
helixplays904,2528,Iron 3,Initiator,0.4493,4.4,11.2341,18.8
Keyk,bread,Silver 2,Flex,,,,
ChefBoiRC123,NA1,Bronze 1,Flex,3.6667,0.0,16.129,13.0
みらい掛橋,best,Gold 3,Flex,1.5882,5.0,12.6316,53.0
papa,7151,,Controller,1.3057,1.4,16.1652,20.2
StoryOfNathan,6960,,Initiator,1.1774,4.8,6.3327,12.8
WhoaThatcombo,3947,,Duelist,1.3513,6.6,9.0414,27.2
xens4n,5645,Iron 3,Duelist,0.9531,4.0,5.9305,28.2
nm3sy,4214,Bronze 3,Duelist,0.9763,5.0,22.4239,37.0
キャタピラー,BBG,Bronze 2,Duelist,2.815,2.6,11.1374,9.6
empirepanther,5437,Silver 1,Duelist,1.0622,5.2,11.9786,73.8
Dom5k,NA1,Bronze 3,Flex,0.75,0.0,25.0,3.0
Goofy,4305,,Initiator,2.2491,4.2,22.8941,34.8
left twix,4639,Bronze 1,Sentinel,1.3464,5.6,10.3754,22.2
Ammaci,NA1,Bronze 1,Sentinel,0.7087,4.6,8.5619,20.8
Chuggets,2244,Platinum 2,Flex,,,,
Feebow,12345,,Duelist,1.2941,6.8,5.0526,17.2
Defenestration,8945,Iron 3,Duelist,1.1149,4.0,7.4388,20.0
cheese,8673,Iron 3,Flex,1.368,6.0,8.1393,46.2
Sacred,4271,Silver 1,Flex,0.7857,6.0,20.5128,83.0
1ok,0000,Silver 1,Duelist,1.1443,4.4,17.6306,22.0
foxk,4288,Iron 3,Duelist,0.9664,1.6,6.9544,25.8
SH1LL,3368,Bronze 2,Duelist,1.1027,2.0,13.1412,31.25
Isackthegoat,9712,Iron 2,Controller,1.7981,4.8,11.0882,29.2
quackdemarco69,7236,Iron 3,Flex,1.0111,3.0,11.0,24.5
Abigail Perez,1234,Gold 2,Duelist,0.73,2.4,29.9046,26.0
TheFuzzyDino,1672,Bronze 2,Flex,1.0084,7.4,7.4706,9.4
lockpwnage,NA1,Bronze 3,Flex,0.5,0.0,0.0,7.0
WassupBuddy,5166,,Flex,0.1429,5.0,0.0,11.0
heiroffireee,2078,Bronze 2,Sentinel,0.949,6.4,11.7589,22.4
Tanjiro,dmslr,Silver 3,Duelist,0.9063,4.2,22.9783,37.2
TheSaltedMeat,Meats,Bronze 3,Flex,1.4016,5.4,9.0664,16.0
JJboi7,4437,Iron 2,Controller,0.7812,4.6,6.5803,22.6
ItsVentality,Jean,Iron 3,Flex,1.2253,6.2,10.7377,24.0
Welter White,NA1,Gold 1,Flex,0.6,1.0,0.0,11.0
Grimacewar7,7559,Platinum 1,Flex,0.8089,7.4,10.5797,43.0
Baristaholic,cafe,Iron 3,Controller,0.9245,3.6,4.6222,34.6
フリークの愛と痛み,9713,Bronze 1,Flex,1.1429,4.0,13.3333,33.0
Elicit beB,D34D,Bronze 2,Flex,1.2325,2.0,5.8824,7.5
strawhatjeffy,2123,Bronze 2,Duelist,0.6446,3.8,6.0829,21.2
steamricee,rose,Bronze 1,Flex,0.4783,12.0,0.0,0.0
The Honored One,Yowai,Platinum 1,Flex,0.8571,0.0,80.0,8.0
StanKeepus,3373,Bronze 2,Duelist,1.9136,5.2,8.7514,41.6
Cloudy,CO2,Bronze 1,Flex,1.0,1.0,19.6078,22.0
Adan loves peep,6969,Silver 1,Flex,0.8182,4.0,25.0,27.0
BEan,9291,Bronze 2,Flex,1.3375,11.0,0.0,0.0
Mee,0300,Platinum 1,Sentinel,2.2715,4.4,28.0298,16.8
Breyzzers,NA1,Silver 2,Flex,1.0484,4.0,9.7461,17.6
Dioa,1732,Iron 2,Flex,,,,
chihiro,0002,,Flex,,,,
The Squonk,dumpi,Platinum 3,Flex,1.16,2.2,18.0056,18.0
Detective karate,0543,Silver 2,Sentinel,1.1402,4.2,8.7713,41.6
zakira,8959,Platinum 1,Flex,0.7604,4.6,26.6991,42.0
Kugotan,1945,,Flex,1.2738,7.5,4.6981,18.0
SongBirde,NA1,Bronze 2,Initiator,2.38,1.4,4.4444,8.8
tawfo,wntr,Bronze 3,Initiator,0.8115,8.0,10.9789,34.0
jrjuice,6221,Gold 2,Flex,1.7624,3.8,23.5913,23.6
kneethief,milfs,Bronze 3,Flex,0.7199,4.0,13.8364,27.4
RamireX,6357,Iron 3,Controller,0.5333,6.6,13.3068,44.0
iharttodd,6058,Bronze 1,Flex,1.3128,3.75,6.7665,39.75
TM Foot fetish,6969,Silver 2,Flex,2.2,2.0,34.0,49.0
manlik123,On YT,Gold 3,Duelist,0.9487,4.0,10.9146,12.6
cereal4swag,2558,Platinum 3,Controller,1.035,4.8,11.609,25.0
Microwave,00000,,Flex,0.5,8.0,5.0,46.0
cvntlord,jiss,Gold 2,Flex,0.8761,6.0,5.1471,28.0
DaddyPigLunchbox,69420,Iron 2,Controller,0.8426,6.2,22.8795,53.8
Mw2QSER1,NA1,Iron 3,Initiator,1.6169,7.2,7.3875,32.4
butt,6870,Bronze 2,Flex,1.1429,6.0,43.2432,49.0
Candice,2148,Bronze 2,Flex,1.4391,5.0,26.2931,73.0
KillzoneParadise,8860,Bronze 1,Duelist,1.1195,4.4,10.3538,23.0
sea,1223,Immortal 1,Duelist,1.1531,2.6,12.9227,10.6
ClipBot,5803,Bronze 3,Duelist,1.7727,2.8,11.4857,22.4
Zenitsu Agatsuma,5202,Bronze 1,Initiator,1.074,5.4,13.7022,50.0
ThyGap,thigh,Platinum 3,Duelist,1.1547,3.0,20.2481,30.2
WRAITHSIMP69,8843,Iron 3,Flex,1.5,5.0,11.1111,29.0
ZappyTurtle,NA1,Gold 1,Controller,1.7933,5.4,7.7324,39.6
Furbyhugger,1000,,Flex,0.1818,5.0,6.6667,1.0
Boat,9565,Iron 3,Flex,0.5,6.0,7.5472,26.0
NogardSaxet,NA1,Silver 1,Initiator,1.1241,7.8,12.3105,40.6
Bunnytheravager,Space,Iron 3,Flex,0.5208,5.0,8.458,38.2
kayleigh,facts,Bronze 3,Flex,0.7692,4.0,7.5,29.0
KomboFPS,3201,Bronze 1,Flex,,,,
DIONLXWES,6855,Iron 3,Flex,1.5741,5.0,8.9372,30.3333
RealT0lga,7389,,Flex,,,,
ionfie,0000,Bronze 2,Duelist,1.4183,10.4,0.0,0.0
TrainedWaffle,bum,Silver 2,Flex,0.6714,5.6,4.7059,11.6
Shadey,7333,,Flex,1.5849,4.75,14.8958,10.0
dikandee,4996,Bronze 1,Duelist,1.0015,3.8,12.7809,24.2
trackyla21,8502,Iron 2,Sentinel,1.6848,3.8,11.3054,14.4
bleeding115,NA1,Bronze 2,Flex,,,,
Abe966,1127,Bronze 2,Initiator,0.8411,6.6,9.1569,48.4
SUS,00000,,Flex,2.2101,4.6667,16.1185,36.3333
Vulnair,yolo,Bronze 2,Flex,0.4286,7.0,13.9535,39.0
bigmonkeynuts2,3893,Silver 2,Duelist,2.0963,3.2,22.7252,24.4
Meitenkun,Sei,Bronze 2,Flex,1.44,7.0,0.0,0.0
Noetic,6457,Platinum 1,Flex,1.3333,2.0,17.1429,23.0
FIed,2927,Silver 3,Duelist,1.1569,3.8,19.2988,13.6
NotSkibbles,6107,,Flex,1.0,1.0,16.6667,11.0
kiaqa2,loco,Silver 1,Flex,1.2585,4.3333,23.9585,38.6667
KYEYUH,NA1,Bronze 1,Duelist,1.6393,3.8,15.4222,19.2
Laxening,XXX,Silver 3,Flex,0.1875,2.0,0.0,7.0
revival,ghost,Iron 3,Flex,0.3077,1.0,3.3333,17.0
EniCatiti13,1680,Iron 1,Sentinel,0.796,2.8,8.4717,12.2
ShaunaInShambles,hehe,Iron 2,Flex,0.6346,3.8,11.7368,27.4
GlowFin,lol,Bronze 1,Duelist,0.7943,1.6,10.7755,19.0
emsocean,8384,Iron 2,Sentinel,0.6741,6.6,9.1029,18.0
GandorfThaMusty,NA1,Bronze 2,Duelist,0.9632,5.6,6.3328,29.4
oogaboogaman,1109,Iron 3,Initiator,0.8247,6.6,9.2534,57.6
mit,1926,Bronze 2,Duelist,1.0732,5.2,17.3458,28.2
TopHeroism,123,Bronze 3,Flex,,,,
RoxasIslas,0013,,Controller,0.5595,3.4,19.7391,32.6
ToasTwp,9798,Platinum 3,Flex,2.0625,8.0,28.9474,44.0
BigJigs,1918,Bronze 3,Duelist,0.7743,3.6,9.4277,20.8
konzyy27,4940,Iron 3,Initiator,1.2322,4.2,8.4444,16.2
LethalLegend19,NA1,Bronze 3,Flex,1.7429,5.3333,15.4034,28.3333
OGSam,5318,Silver 1,Initiator,0.9913,3.4,3.3333,13.4
GodlyDestiny10,7531,Iron 1,Flex,0.3144,4.4,0.0,0.6
